id,brand,model,year,price
1537,Chevrolet,Colorado,2015,5852
1538,Kia,Carnival,2015,5392
1539,Land Rover,Discovery,2015,16200
1540,Honda,CR-V,2021,17059
1541,Toyota,Hilux,2015,6735
1542,Ford,Mustang,2021,17986
1543,Mitsubishi,Pajero,2016,7827
1544,Volkswagen,Tiguan,2017,8089
1545,Ford,Fiesta,2016,8070
1546,Citroën,Berlingo,2015,5072
1547,Land Rover,Range Rover,2016,23664
1548,Citroën,C4,2014,5000
1549,Lexus,GX,2022,31607
1550,Lexus,LX,2020,27061
1551,Dodge,Journey,2016,9090
1552,Nissan,Sentra,2019,10873
1553,Honda,Pilot,2020,15934
1554,Lexus,RX,2023,39721
1555,Volkswagen,Arteon,2014,5000
1556,Jeep,Renegade,2022,27637
1557,Land Rover,LR2,2014,12686
1558,Volkswagen,Passat,2022,20087
1559,Mitsubishi,ASX,2019,13328
1560,Dodge,Viper,2023,27973
1561,Mazda,CX-5,2023,22211
1562,Peugeot,Expert,2014,5000
1563,Acura,RDX,2014,7633
1564,Dodge,Grand Caravan,2023,22459
1565,Fiat,Argo,2023,12635
1566,Renault,Oroch,2021,12090
1567,Acura,ILX,2019,24268
1568,BMW,320i,2013,5601
1569,Volkswagen,ID.4,2020,15399
1570,Land Rover,Discovery,2024,62382
1571,Peugeot,208,2024,17185
1572,Volvo,S90,2021,28772
1573,Subaru,Impreza,2016,10037
1574,Land Rover,Discovery,2014,10717
1575,Ford,F-150,2018,10548
1576,Hyundai,Kona,2016,7757
1577,Volvo,XC90,2019,26486
1578,Lexus,UX,2017,18767
1579,Peugeot,3008,2019,10536
1580,Dodge,Viper,2018,13444
1581,Honda,Insight,2017,9984
1582,Ford,Fiesta,2010,5000
1583,Jeep,Cherokee,2012,5000
1584,BMW,740i,2022,33002
1585,BMW,X5,2022,40300
1586,Jeep,Grand Cherokee,2023,23667
1587,Citroën,C4,2023,16000
1588,Ford,F-150,2015,6228
1589,Kia,Stinger,2024,18901
1590,Acura,Integra,2019,24186
1591,Dodge,Grand Caravan,2011,5000
1592,Chevrolet,Blazer,2024,23381
1593,Mitsubishi,ASX,2016,8391
1594,Hyundai,Ioniq,2022,14242
1595,Honda,Odyssey,2022,22236
1596,Volkswagen,ID.4,2015,5207
1597,Mazda,Mazda2,2017,10600
1598,Land Rover,Range Rover,2010,5000
1599,Renault,Megane,2016,5664
1600,Hyundai,Sonata,2023,16536
1601,Peugeot,Partner,2020,10541
1602,Kia,Carnival,2014,5000
1603,Renault,Kwid,2018,8578
1604,Dodge,Charger,2024,24848
1605,Volkswagen,Taos,2011,5000
1606,Mazda,CX-50,2022,21214
1607,Acura,Legend,2020,27670
1608,Renault,Captur,2013,5000
1609,Acura,RDX,2015,10613
1610,Citroën,Jumpy,2018,9511
1611,Renault,Captur,2013,5000
1612,Dodge,Challenger,2011,5000
1613,Infiniti,FX35,2013,5417
1614,Volkswagen,Polo,2016,7700
1615,Land Rover,Defender,2016,21743
1616,Mitsubishi,Eclipse Cross,2017,8471
1617,Fiat,Palio,2018,8170
1618,Volkswagen,Jetta,2011,5000
1619,Chevrolet,Cruze,2020,15794
1620,Honda,Odyssey,2017,11013
1621,Citroën,DS4,2019,8672
1622,Lexus,NX,2021,34650
1623,Mercedes-Benz,GLS,2016,16226
1624,Citroën,C-Elysee,2015,5000
1625,Nissan,Sentra,2021,17125
1626,Volvo,S90,2016,14068
1627,Audi,Q5,2011,5000
1628,Chevrolet,Traverse,2016,8041
1629,Fiat,500,2011,5000
1630,Land Rover,Range Rover,2022,54494
1631,Renault,Clio,2015,5000
1632,Kia,Soul,2024,18383
1633,BMW,Z4,2012,5000
1634,Mitsubishi,Lancer,2017,7928
1635,Audi,A3,2013,6218
1636,Chevrolet,Colorado,2014,5000
1637,Subaru,Legacy,2021,17772
1638,Audi,Q8,2014,8343
1639,Acura,RDX,2023,33356
1640,Ford,Explorer,2020,13549
1641,Kia,Forte,2013,5000
1642,Honda,Odyssey,2010,5000
1643,Volvo,V40,2017,19363
1644,Lexus,UX,2018,20062
1645,Kia,Forte,2024,16389
1646,Mitsubishi,L200,2016,8041
1647,Renault,Kwid,2020,9703
1648,Hyundai,Sonata,2024,19605
1649,Mazda,CX-50,2024,23761
1650,Honda,Ridgeline,2023,22901
1651,Acura,Integra,2016,14851
1652,Volvo,S40,2017,15340
1653,Mercedes-Benz,S-Class,2013,5440
1654,Volvo,XC90,2014,7930
1655,Infiniti,QX50,2010,5000
1656,Volkswagen,Golf,2023,16905
1657,Renault,Logan,2024,16025
1658,BMW,530i,2016,17271
1659,Lexus,LX,2014,9588
1660,Ford,Mustang,2021,16683
1661,Chevrolet,Blazer,2016,8499
1662,Peugeot,308,2012,5000
1663,Nissan,Murano,2019,13538
1664,BMW,X7,2023,39618
1665,Mitsubishi,Lancer,2015,6445
1666,Acura,MDX,2024,36874
1667,Jeep,Grand Cherokee,2016,9717
1668,Lexus,NX,2014,9399
1669,Fiat,Ducato,2015,5000
1670,Jeep,Cherokee,2014,5112
1671,Land Rover,Range Rover,2014,11848
1672,BMW,X5,2011,5000
1673,Mercedes-Benz,A-Class,2022,38062
1674,Mitsubishi,Galant,2011,5000
1675,Lexus,LX,2023,36168
1676,Peugeot,5008,2013,5000
1677,Nissan,Titan,2015,6339
1678,Mercedes-Benz,S-Class,2014,8593
1679,Peugeot,2008,2019,11054
1680,Fiat,Toro,2018,8247
1681,Peugeot,208,2021,12298
1682,BMW,X3,2021,33088
1683,Jeep,Gladiator,2021,23093
1684,Acura,TLX,2010,5000
1685,Chevrolet,Tahoe,2011,5000
1686,Mercedes-Benz,GLS,2018,25915
1687,Mitsubishi,Montero,2013,5000
1688,Acura,Legend,2023,36128
1689,Lexus,LS,2014,9336
1690,Volvo,V40,2015,10486
1691,Fiat,Strada,2013,5000
1692,Volkswagen,Golf,2023,19993
1693,Audi,Q3,2010,5000
1694,Mazda,CX-30,2014,5000
1695,Audi,TT,2017,18684
1696,Fiat,Cronos,2010,5000
1697,Ford,Edge,2015,6635
1698,Dodge,Nitro,2023,23818
1699,Toyota,Corolla,2021,20271
1700,Mitsubishi,Eclipse Cross,2020,14206
1701,Ford,Explorer,2013,5000
1702,Audi,A4,2012,5000
1703,Chevrolet,Blazer,2024,20358
1704,Audi,TT,2013,5000
1705,Mercedes-Benz,AMG GT,2018,26028
1706,Ford,Explorer,2024,26008
1707,Volkswagen,Golf,2015,6465
1708,Peugeot,2008,2014,5000
1709,Hyundai,Santa Fe,2023,17627
1710,Toyota,Tacoma,2018,11592
1711,Jeep,Patriot,2018,17879
1712,Nissan,Murano,2022,18997
1713,Lexus,GX,2022,39955
1714,Volkswagen,Tiguan,2016,7051
1715,Kia,Soul,2022,16041
1716,Mercedes-Benz,GLC,2020,32556
1717,Kia,Carnival,2023,16683
1718,Acura,RDX,2013,5000
1719,Toyota,Sienna,2020,15295
1720,Chevrolet,Silverado,2019,13947
1721,Citroën,Jumpy,2014,5000
1722,Mercedes-Benz,S-Class,2022,39782
1723,Fiat,Strada,2019,9462
1724,Mitsubishi,Mirage,2017,10047
1725,Volkswagen,Polo,2014,5000
1726,Toyota,Hilux,2022,19091
1727,Nissan,Maxima,2017,9868
1728,Acura,Legend,2014,6968
1729,Mazda,CX-5,2018,10188
1730,Citroën,C-Elysee,2013,5000
1731,Hyundai,Elantra,2011,5000
1732,Volkswagen,Tiguan,2013,5000
1733,Hyundai,Ioniq,2011,5000
1734,Volvo,V40,2013,5000
1735,Volkswagen,Polo,2015,6220
1736,Honda,CR-V,2018,14100
1737,Citroën,C4,2011,5000
1738,Volvo,S40,2018,22600
1739,Hyundai,Kona,2022,13989
1740,Nissan,Altima,2024,22368
1741,Fiat,500,2015,5000
1742,Nissan,Murano,2010,5000
1743,Jeep,Liberty,2010,5000
1744,Dodge,Grand Caravan,2022,24499
1745,Peugeot,Partner,2011,5000
1746,Subaru,Outback,2010,5000
1747,Chevrolet,Tahoe,2014,5000
1748,Audi,R8,2011,5000
1749,Infiniti,M35,2024,44943
1750,Acura,MDX,2012,5000
1751,Audi,A6,2016,18532
1752,Hyundai,Venue,2012,5000
1753,Dodge,Charger,2011,5000
1754,Infiniti,QX60,2023,34356
1755,Subaru,Legacy,2014,5427
1756,Fiat,Argo,2010,5000
1757,Honda,Insight,2024,26818
1758,Hyundai,Tucson,2011,5000
1759,Volkswagen,ID.4,2015,5077
1760,Kia,Telluride,2023,15274
1761,Ford,F-150,2023,21381
1762,Fiat,Argo,2021,12742
1763,Subaru,Outback,2019,14345
1764,Peugeot,Partner,2013,5000
1765,Infiniti,G37,2015,10731
1766,Dodge,Ram 1500,2017,13910
1767,Infiniti,QX50,2014,8921
1768,Renault,Captur,2013,5000
1769,Subaru,Legacy,2019,16990
1770,Mercedes-Benz,GLE,2020,30779
1771,Volkswagen,Arteon,2021,14315
1772,Honda,Odyssey,2023,21744
1773,Acura,NSX,2014,6863
1774,Fiat,Toro,2014,5000
1775,Citroën,DS4,2021,11773
1776,Citroën,C4 Cactus,2019,11130
1777,Volvo,C40,2016,14258
1778,Infiniti,G37,2019,21416
1779,Hyundai,Tucson,2024,18937
1780,Audi,Q7,2021,40176
1781,BMW,320i,2010,5000
1782,Audi,R8,2012,5000
1783,Ford,Escape,2018,13349
1784,Hyundai,Tucson,2019,12302
1785,Renault,Kwid,2011,5000
1786,BMW,X5,2019,30891
1787,Lexus,IS,2018,22528
1788,Acura,RSX,2015,10034
1789,Kia,Forte,2020,13610
1790,BMW,330i,2022,38717
1791,Land Rover,Freelander,2021,49170
1792,Mitsubishi,3000GT,2023,19214
1793,Audi,A4,2014,9138
1794,Mazda,Mazda6,2021,15677
1795,Volkswagen,Polo,2017,9741
1796,Volkswagen,Beetle,2022,17721
1797,Hyundai,Accent,2020,12688
1798,Volkswagen,Beetle,2020,13029
1799,Land Rover,Range Rover Sport,2018,27795
1800,Jeep,Cherokee,2017,11389
1801,Audi,A4,2024,46247
1802,Honda,Ridgeline,2017,9226
1803,Audi,A6,2015,14948
1804,Volkswagen,Passat,2023,17419
1805,Jeep,Commander,2011,5000
1806,Volkswagen,Atlas,2011,5000
1807,Peugeot,308,2013,5000
1808,Honda,HR-V,2017,10839
1809,Hyundai,Palisade,2024,19594
1810,Volkswagen,Atlas,2021,15213
1811,Land Rover,LR2,2018,34742
1812,Acura,Legend,2020,26980
1813,BMW,330i,2014,9015
1814,Mercedes-Benz,GLE,2023,52759
1815,Lexus,RX,2019,26353
1816,Peugeot,208,2024,18278
1817,Fiat,Uno,2022,11514
1818,Land Rover,Defender,2023,50009
1819,Nissan,Frontier,2010,5000
1820,Ford,Escape,2013,5000
1821,Honda,HR-V,2016,8277
1822,Toyota,4Runner,2017,10990
1823,Kia,Rio,2022,16594
1824,Nissan,Titan,2021,12947
1825,Subaru,Legacy,2013,5000
1826,Dodge,Durango,2023,24054
1827,Acura,RDX,2024,32434
1828,BMW,M3,2020,32567
1829,Lexus,IS,2016,15334
1830,Volkswagen,Tiguan,2013,5000
1831,Volkswagen,Beetle,2012,5000
1832,Infiniti,FX35,2019,27055
1833,Dodge,Challenger,2013,5000
1834,Chevrolet,Suburban,2015,5910
1835,Peugeot,Expert,2011,5000
1836,Honda,Insight,2016,9550
1837,Dodge,Charger,2017,10898
1838,BMW,530i,2020,31833
1839,Volkswagen,Polo,2017,9585
1840,Mercedes-Benz,GLS,2015,12444
1841,Peugeot,5008,2012,5000
1842,Kia,Seltos,2022,14776
1843,Lexus,ES,2013,5425
1844,Dodge,Dart,2012,5000
1845,Nissan,Versa,2017,8700
1846,Lexus,IS,2023,43466
1847,Subaru,Legacy,2019,15798
1848,Toyota,Sienna,2018,12148
1849,Land Rover,Discovery,2017,28891
1850,Hyundai,Ioniq,2018,9102
1851,Nissan,Rogue,2017,8987
1852,Infiniti,QX80,2017,19843
1853,Lexus,GS,2018,24055
1854,Land Rover,Evoque,2017,29180
1855,Hyundai,Elantra,2011,5000
1856,Audi,R8,2011,5000
1857,Lexus,RC,2021,36619
1858,Subaru,Tribeca,2018,13786
1859,Toyota,Tacoma,2018,11749
1860,Toyota,Yaris,2012,5000
1861,Ford,Escape,2013,5000
1862,Acura,RDX,2018,18111
1863,Subaru,Ascent,2024,24908
1864,Nissan,Murano,2011,5000
1865,Dodge,Challenger,2021,23051
1866,Dodge,Viper,2018,13229
1867,Fiat,Strada,2011,5000
1868,Peugeot,Expert,2013,5000
1869,Toyota,Corolla,2018,14875
1870,Infiniti,QX60,2020,27754
1871,BMW,320i,2015,13693
1872,Chevrolet,Colorado,2018,9782
1873,Jeep,Gladiator,2011,5000
1874,Subaru,Tribeca,2010,5000
1875,Subaru,XV,2014,5000
1876,Citroën,DS4,2013,5000
1877,Mazda,MX-5 Miata,2015,5412
1878,Hyundai,Sonata,2020,11231
1879,Volvo,S90,2018,18856
1880,Land Rover,LR2,2024,62224
1881,Peugeot,3008,2015,5000
1882,Ford,F-150,2011,5000
1883,Dodge,Viper,2024,24038
1884,Kia,Stinger,2014,5000
1885,Mitsubishi,Eclipse Cross,2011,5000
1886,Volkswagen,Atlas,2019,14406
1887,Dodge,Journey,2012,5000
1888,Renault,Koleos,2018,7267
1889,Volkswagen,Golf,2012,5000
1890,Mazda,Mazda3,2021,14466
1891,Chevrolet,Camaro,2020,14099
1892,Kia,Rio,2010,5000
1893,Acura,RDX,2010,5000
1894,BMW,X7,2015,12240
1895,Citroën,DS3,2020,12615
1896,Mercedes-Benz,C-Class,2018,27847
1897,Jeep,Compass,2020,20547
1898,BMW,X7,2021,29259
1899,Jeep,Renegade,2019,17238
1900,Mercedes-Benz,E-Class,2011,5000
1901,Chevrolet,Camaro,2019,14642
1902,Renault,Captur,2018,8730
1903,Ford,Fiesta,2014,5000
1904,Audi,A4,2011,5000
1905,Acura,RDX,2019,25876
1906,Nissan,Kicks,2014,5000
1907,Kia,Rio,2012,5000
1908,Ford,Ranger,2024,22889
1909,Land Rover,LR4,2021,49394
1910,Volvo,C40,2018,20006
1911,Volvo,C40,2018,18399
1912,Mitsubishi,Eclipse Cross,2016,6440
1913,Acura,Legend,2013,5000
1914,Fiat,Argo,2024,13250
1915,Volkswagen,Golf,2015,5874
1916,Ford,Fusion,2016,7666
1917,Renault,Captur,2018,9448
1918,Infiniti,G37,2011,5000
1919,Hyundai,Ioniq,2023,19533
1920,Chevrolet,Camaro,2017,11126
1921,Infiniti,Q60,2020,24982
1922,Mitsubishi,Mirage,2021,16615
1923,Fiat,Strada,2010,5000
1924,Audi,Q8,2018,24945
1925,Acura,MDX,2015,11811
1926,Toyota,Yaris,2016,9865
1927,Hyundai,Veloster,2021,13285
1928,Kia,Seltos,2022,13648
1929,Toyota,RAV4,2024,22966
1930,Lexus,NX,2020,27166
1931,Fiat,Cronos,2013,5000
1932,Acura,NSX,2015,9203
1933,Toyota,Corolla,2013,5000
1934,Peugeot,Partner,2017,6405
1935,Mercedes-Benz,A-Class,2011,5000
1936,Volvo,XC60,2023,40116
1937,Citroën,DS3,2013,5000
1938,Fiat,500,2013,5000
1939,Mercedes-Benz,GLA,2018,26315
1940,Kia,Forte,2011,5000
1941,BMW,X3,2019,24484
1942,Hyundai,Tucson,2023,15157
1943,Toyota,Tacoma,2012,5000
1944,Honda,Accord,2010,5000
1945,Volvo,V60,2018,17648
1946,Mazda,CX-50,2020,14058
1947,Honda,Civic,2023,24412
1948,Chevrolet,Equinox,2018,9897
1949,Acura,RLX,2013,5000
1950,Citroën,DS3,2020,10222
1951,Fiat,Toro,2012,5000
1952,Volvo,S60,2011,5000
1953,Mercedes-Benz,E-Class,2016,18926
1954,Mitsubishi,Pajero,2012,5000
1955,Mercedes-Benz,CLA,2017,21610
1956,Jeep,Wrangler,2011,5000
1957,Volkswagen,Beetle,2019,12091
1958,Fiat,Toro,2022,12556
1959,Nissan,Versa,2016,7600
1960,Land Rover,Range Rover,2012,5000
1961,Land Rover,Velar,2016,20022
1962,Honda,Accord,2019,12889
1963,Honda,Odyssey,2018,11013
1964,Hyundai,Kona,2016,6048
1965,Renault,Clio,2017,7533
1966,Kia,Rio,2018,9418
1967,Jeep,Liberty,2020,23065
1968,Jeep,Wrangler,2023,27526
1969,Acura,Integra,2017,18368
1970,Infiniti,QX80,2021,29827
1971,Dodge,Journey,2011,5000
1972,Audi,Q7,2011,5000
1973,Dodge,Charger,2019,18560
1974,Audi,A3,2019,27131
1975,Infiniti,G35,2016,13055
1976,Dodge,Grand Caravan,2014,5281
1977,Fiat,Palio,2020,10585
1978,Kia,Carnival,2015,5104
1979,Chevrolet,Equinox,2013,5000
1980,Mazda,CX-5,2014,5000
1981,Renault,Fluence,2017,7288
1982,Peugeot,Boxer,2011,5000
1983,Volkswagen,Golf,2015,5988
1984,Subaru,Forester,2019,16647
1985,Peugeot,5008,2019,10810
1986,Dodge,Charger,2020,17914
1987,Citroën,C3,2017,6842
1988,Citroën,DS4,2013,5000
1989,Volvo,V60,2019,25881
1990,Acura,RLX,2020,26585
1991,Land Rover,Defender,2022,56958
1992,Subaru,BRZ,2015,7615
1993,BMW,530i,2016,15181
1994,Dodge,Grand Caravan,2015,8531
1995,Jeep,Grand Cherokee,2021,19398
1996,Renault,Fluence,2014,5000
1997,Chevrolet,Blazer,2024,24834
1998,Nissan,Pathfinder,2020,12356
1999,Kia,Forte,2015,5000
2000,Kia,Sorento,2023,16746
2001,Volvo,V60,2012,5000
2002,Jeep,Grand Cherokee,2017,13206
2003,Toyota,Prius,2017,11199
2004,Lexus,GX,2024,42132
2005,BMW,M3,2011,5000
2006,Volkswagen,Beetle,2011,5000
2007,Honda,Odyssey,2023,24915
2008,Volvo,V40,2013,5117
2009,Jeep,Liberty,2019,17078
2010,Volvo,S90,2024,42246
2011,Citroën,SpaceTourer,2017,6539
2012,Mazda,MX-5 Miata,2020,13477
2013,Kia,Soul,2012,5000
2014,Chevrolet,Colorado,2011,5000
2015,Audi,Q5,2017,20337
2016,Citroën,C-Elysee,2011,5000
2017,Dodge,Charger,2020,18042
2018,Nissan,Altima,2016,6426
2019,Mazda,CX-3,2019,14370
2020,Renault,Oroch,2018,8093
2021,Volkswagen,Beetle,2019,14362
2022,Chevrolet,Traverse,2023,19043
2023,Lexus,GS,2012,5000
2024,Mercedes-Benz,CLA,2024,53461
2025,Fiat,Toro,2011,5000
2026,Renault,Oroch,2021,10756
2027,Citroën,C5 Aircross,2016,6571
2028,Hyundai,Accent,2012,5000
2029,Dodge,Viper,2021,24439
2030,Mazda,RX-8,2013,5000
2031,Mercedes-Benz,AMG GT,2016,19698
2032,Ford,Mustang,2015,6953
2033,Renault,Sandero,2021,11119
2034,Audi,A4,2016,14499
2035,BMW,X5,2022,33889
2036,Mercedes-Benz,GLC,2021,37188
2037,Kia,Seltos,2012,5000
2038,Land Rover,Defender,2013,6854
2039,Subaru,Forester,2012,5000
2040,Citroën,C4,2014,5000
2041,Honda,HR-V,2023,22318
2042,Mazda,CX-50,2020,16506
2043,Hyundai,Tucson,2023,19247
2044,Mitsubishi,Eclipse Cross,2021,14946
2045,Fiat,Strada,2016,5000
2046,Toyota,Sienna,2015,7190
2047,Peugeot,5008,2019,9504
2048,Chevrolet,Equinox,2013,5000
2049,Audi,A3,2015,11805
2050,Peugeot,Boxer,2024,19004
2051,Volvo,V60,2022,32518
2052,Citroën,Jumpy,2024,14123
2053,Audi,A4,2024,45533
2054,Fiat,Cronos,2020,8980
2055,Kia,Soul,2020,11362
2056,Honda,Insight,2010,5000
2057,Chevrolet,Cruze,2016,7809
2058,Lexus,GX,2016,12899
2059,Dodge,Magnum,2020,19193
2060,Honda,Accord,2010,5000
2061,Acura,Legend,2020,24865
2062,Volkswagen,Jetta,2010,5000
2063,Hyundai,Sonata,2020,10992
2064,Mitsubishi,Galant,2016,6635
2065,Nissan,Frontier,2014,5000
2066,Subaru,Forester,2018,13730
2067,Lexus,LX,2020,24623
2068,Mercedes-Benz,A-Class,2010,5000
2069,Land Rover,Evoque,2017,24766
2070,Lexus,RX,2024,45407
2071,Hyundai,Veloster,2020,12635
2072,Volvo,V90,2023,38459
2073,Dodge,Viper,2012,5000
2074,Chevrolet,Cruze,2017,8896
2075,Toyota,Yaris,2020,14469
2076,Ford,Focus,2011,5000
2077,Ford,Expedition,2011,5000
2078,Dodge,Viper,2020,21515
2079,BMW,X3,2011,5000
2080,Subaru,Forester,2016,10231
2081,Volkswagen,ID.4,2024,19148
2082,Dodge,Magnum,2014,6249
2083,Peugeot,Boxer,2017,8378
2084,Citroën,C4,2024,15380
2085,Renault,Logan,2023,14443
2086,BMW,320i,2016,17705
2087,Renault,Fluence,2023,12601
2088,Mitsubishi,Mirage,2013,5000
2089,Volkswagen,Arteon,2011,5000
2090,Hyundai,Palisade,2018,8870
2091,Peugeot,Expert,2021,12623
2092,Ford,Mustang,2010,5000
2093,Nissan,Kicks,2011,5000
2094,Ford,Edge,2013,5000
2095,BMW,330i,2012,5000
2096,Lexus,ES,2020,29838
2097,Infiniti,G35,2016,16478
2098,Mercedes-Benz,GLE,2020,37644
2099,Peugeot,5008,2010,5000
2100,Chevrolet,Blazer,2017,11119
2101,Subaru,Impreza,2011,5000
2102,Volvo,V90,2022,28146
2103,Hyundai,Ioniq,2010,5000
2104,Honda,Insight,2023,24939
2105,Dodge,Charger,2020,19001
2106,Volkswagen,Polo,2022,15069
2107,Citroën,Berlingo,2017,8160
2108,Peugeot,Partner,2011,5000
2109,Renault,Sandero,2021,11262
2110,Hyundai,Elantra,2020,14435
2111,Land Rover,Range Rover Sport,2023,52060
2112,Jeep,Patriot,2015,8446
2113,Chevrolet,Silverado,2011,5000
2114,Dodge,Ram 1500,2024,30687
2115,Audi,A4,2014,10726
2116,Infiniti,G35,2016,12266
2117,Lexus,RX,2016,13021
2118,BMW,X5,2019,28147
2119,BMW,Z4,2017,17967
2120,Toyota,RAV4,2019,15245
2121,Dodge,Viper,2019,16591
2122,Volvo,S90,2012,5000
2123,BMW,740i,2014,9864
2124,Lexus,GS,2015,10731
2125,Acura,NSX,2022,28272
2126,Honda,Fit,2020,15398
2127,Dodge,Ram 1500,2010,5000
2128,Infiniti,QX80,2017,19072
2129,Mitsubishi,ASX,2010,5000
2130,Mazda,CX-30,2010,5000
2131,Audi,Q5,2013,5841
2132,Mercedes-Benz,E-Class,2024,52031
2133,Peugeot,208,2012,5000
2134,BMW,M3,2015,13711
2135,Ford,Focus,2012,5000
2136,Kia,Optima,2011,5000
2137,Hyundai,Tucson,2019,12292
2138,Mercedes-Benz,GLA,2021,38083
2139,Hyundai,Tucson,2020,14054
2140,Audi,Q7,2013,5487
2141,BMW,M3,2017,19409
2142,Toyota,Tacoma,2010,5000
2143,Kia,Seltos,2019,11495
2144,Mercedes-Benz,AMG GT,2013,6777
2145,Ford,Focus,2013,5000
2146,Renault,Captur,2018,7763
2147,Kia,Optima,2022,13206
2148,Toyota,Corolla,2012,5000
2149,Mitsubishi,ASX,2023,21220
2150,Infiniti,FX35,2024,40211
2151,Land Rover,Discovery,2024,62644
2152,Land Rover,LR4,2010,5000
2153,Hyundai,Kona,2024,20852
2154,Acura,RDX,2024,37101
2155,Dodge,Durango,2013,5000
2156,Mazda,Mazda6,2020,15414
2157,BMW,X5,2017,18552
2158,Citroën,C4 Cactus,2010,5000
2159,Infiniti,M35,2015,9579
2160,Mitsubishi,Lancer,2019,14437
2161,Infiniti,M35,2017,18605
2162,Ford,F-150,2016,7977
2163,Nissan,Sentra,2015,5334
2164,Jeep,Cherokee,2020,18298
2165,Peugeot,308,2013,5000
2166,Honda,Odyssey,2013,5000
2167,Hyundai,Tucson,2018,9491
2168,Mitsubishi,L200,2011,5000
2169,Mazda,MX-5 Miata,2016,7302
2170,Subaru,Tribeca,2018,13365
2171,Toyota,Avalon,2022,19805
2172,Volvo,XC60,2016,13215
2173,Toyota,Camry,2013,5000
2174,Audi,R8,2010,5000
2175,Volkswagen,Taos,2012,5000
2176,Renault,Logan,2010,5000
2177,Ford,Explorer,2018,12758
2178,Land Rover,Evoque,2010,5000
2179,Mercedes-Benz,GLE,2015,13650
2180,Nissan,Pathfinder,2016,6537
2181,Chevrolet,Colorado,2015,6713
2182,Ford,Expedition,2011,5000
2183,Dodge,Viper,2018,15127
2184,Renault,Megane,2021,12853
2185,Jeep,Cherokee,2021,24943
2186,Dodge,Charger,2010,5000
2187,Volkswagen,ID.4,2022,17716
2188,BMW,X3,2016,15356
2189,Renault,Oroch,2018,7533
2190,Honda,Pilot,2022,23082
2191,Mercedes-Benz,S-Class,2010,5000
2192,Volkswagen,Tiguan,2021,13672
2193,Mazda,RX-8,2015,6575
2194,Peugeot,3008,2021,11114
2195,Chevrolet,Camaro,2019,13141
2196,Peugeot,Partner,2010,5000
2197,Subaru,Tribeca,2012,5000
2198,Jeep,Commander,2018,17855
2199,Mitsubishi,Eclipse Cross,2011,5000
2200,Ford,Fiesta,2013,5000
2201,Jeep,Liberty,2023,25195
2202,Citroën,C4 Cactus,2023,15999
2203,Chevrolet,Malibu,2022,18000
2204,BMW,330i,2022,41015
2205,Infiniti,Q50,2022,35323
2206,Citroën,C5 Aircross,2021,12134
2207,Renault,Sandero,2010,5000
2208,Dodge,Journey,2010,5000
2209,BMW,X1,2020,34007
2210,Kia,Sorento,2019,9951
2211,BMW,X3,2021,33779
2212,Citroën,C4 Cactus,2013,5000
2213,Mercedes-Benz,GLC,2011,5000
2214,Mazda,Mazda2,2024,23069
2215,Honda,Fit,2016,8996
2216,Citroën,C4,2018,8122
2217,Acura,NSX,2022,33795
2218,Hyundai,Palisade,2018,10707
2219,Fiat,Ducato,2018,8719
2220,Kia,Optima,2014,5000
2221,Renault,Logan,2011,5000
2222,Renault,Fluence,2010,5000
2223,Fiat,Cronos,2021,12810
2224,Dodge,Durango,2024,29351
2225,Renault,Captur,2016,5000
2226,Renault,Captur,2023,14883
2227,Subaru,Crosstrek,2013,5000
2228,Citroën,DS3,2019,11096
2229,Lexus,LX,2014,8187
2230,Infiniti,FX35,2015,9570
2231,Jeep,Cherokee,2023,31243
2232,Honda,HR-V,2023,21729
2233,Hyundai,Veloster,2018,8806
2234,Acura,ILX,2011,5000
2235,Mazda,CX-3,2024,24437
2236,Subaru,Ascent,2013,5000
2237,Renault,Koleos,2018,7527
2238,Mazda,Mazda3,2019,15109
2239,Chevrolet,Traverse,2010,5000
2240,Infiniti,QX50,2016,16061
2241,BMW,X1,2013,5496
2242,Volkswagen,Passat,2012,5000
2243,Nissan,Kicks,2017,7866
2244,Nissan,Maxima,2019,11570
2245,Subaru,Forester,2023,21196
2246,Mercedes-Benz,GLA,2022,43603
2247,Lexus,RX,2018,20794
2248,Volvo,C40,2014,7088
2249,Fiat,Palio,2021,10564
2250,BMW,740i,2013,5052
2251,Jeep,Renegade,2016,10220
2252,Kia,Rio,2024,15499
2253,Mercedes-Benz,GLA,2016,18451
2254,Fiat,Uno,2011,5000
2255,Hyundai,Kona,2012,5000
2256,Honda,Pilot,2022,20613
2257,Hyundai,Sonata,2020,13831
2258,Audi,Q8,2021,34277
2259,Lexus,LX,2022,40173
2260,Fiat,500,2018,7856
2261,Hyundai,Palisade,2014,5000
2262,Chevrolet,Blazer,2023,19506
2263,Citroën,Berlingo,2019,9150
2264,Kia,Telluride,2011,5000
2265,Honda,Pilot,2016,8476
2266,Toyota,RAV4,2015,6713
2267,Dodge,Magnum,2012,5000
2268,BMW,X5,2020,32947
2269,Honda,Fit,2022,21162
2270,Acura,TLX,2022,30387
2271,Mercedes-Benz,S-Class,2020,35768
2272,Infiniti,QX50,2013,5000
2273,Volvo,S40,2015,11952
2274,Nissan,Murano,2019,12063
2275,Fiat,Uno,2011,5000
2276,Dodge,Magnum,2018,13515
2277,Fiat,Uno,2019,8029
2278,Fiat,Toro,2015,5000
